task_type,subject_importance,deadline_days,estimated_time,difficulty,urgency_self,energy_required,self_reported_procrastination,completion_status,actual_time_vs_estimate,energy_at_attempt,priority
Exam Preparation,Secondary,6.0,90.0,4.0,4.0,High,4.0,Completed but late,Much more,Low,High
Assignment,Optional,10.0,30.0,1.0,1.0,Low,1.0,Did not start,Same as estimated,Low,Low
Revision / Practice,Optional,12.0,45.0,2.0,1.0,Low,1.0,Completed on time,Less than estimated,High,Low
Project,Optional,15.0,120.0,2.0,2.0,Medium,2.0,Started but not completed,Much more,Low,Low
Exam Preparation,Optional,14.0,90.0,2.0,2.0,Medium,2.0,Completed but late,Slightly more,Low,Low
Reading / Notes,Optional,20.0,30.0,1.0,1.0,Low,1.0,Completed on time,Less than estimated,High,Low
Project,Optional,4.653417027292221,88.30760200887696,3.4803373332830643,1.0297142632012433,Low,4.611220648509395,Completed on time,Less than estimated,Low,Medium
Reading / Notes,Optional,13.228446906194375,85.29347500746698,1.9990106729601003,3.9013680112873264,Medium,2.1144340238769317,Completed but late,Much more,Low,High
Reading / Notes,Secondary,11.390330190970948,105.46794653920814,4.371075458027803,2.726863305569836,High,2.4618282809501895,Completed but late,Slightly more,Low,Low
Reading / Notes,Optional,12.304691255512116,37.93854950353084,1.8520297878980245,2.675341445373938,Medium,4.08354050853559,Completed but late,Less than estimated,High,Low
Exam Preparation,Secondary,0.323448731100866,93.91940928593183,3.32661609372562,1.3435223704295738,Low,3.1628292575726005,Completed but late,Same as estimated,Medium,Medium
Exam Preparation,Optional,9.95466580113806,119.1347780518383,4.420382082905114,2.18410103230502,High,3.787404543666913,Did not start,Same as estimated,Medium,Medium
Revision / Practice,Optional,1.1972076221986838,108.02952894460437,4.502777791264723,2.4082240013416683,Medium,1.358841971688519,Completed but late,Much more,High,Medium
Reading / Notes,Optional,6.515585629769076,66.44083531875167,3.1123833351433383,3.2730888232971513,High,4.694548577928364,Completed but late,Same as estimated,Low,Medium
Project,Optional,18.221356669666232,55.505456457220745,3.2025749257436975,2.835610276640898,Medium,1.1178514291582653,Completed on time,Less than estimated,Low,Low
Exam Preparation,Core,8.863607046356032,96.38604429500022,4.0059903459023465,3.3941348079317555,Low,3.711591703103265,Completed on time,Same as estimated,High,Medium
Project,Core,9.816443373038764,35.28972308379974,3.747381213818323,3.7007088365140475,High,4.726621777487465,Completed but late,Slightly more,High,High
Revision / Practice,Core,8.36213778224783,56.37503017184264,1.9298386970944543,4.110709770699282,High,3.419405218605684,Started but not completed,Same as estimated,High,Low
Project,Optional,7.508601934172194,111.41795507253453,4.6745178573369515,4.421039381372996,High,3.664008171345099,Completed on time,Same as estimated,High,Medium
Project,Secondary,18.57864246181063,82.73241713443434,4.415784213154012,4.310112477540198,High,1.1897707313237111,Started but not completed,Much more,Low,High
Revision / Practice,Optional,14.08433414336492,88.59977021650528,1.4661510087681338,3.64383757240749,Medium,2.1475973706928637,Did not start,Slightly more,Medium,Low
Reading / Notes,Optional,3.953726745601014,90.72724678430696,2.267385191180435,4.472838570894037,High,2.4598787292082704,Completed on time,Same as estimated,High,Low
Exam Preparation,Secondary,5.0846629939610954,94.31588305997019,4.696177617910488,3.752602291321333,Low,1.7711088015479852,Started but not completed,Much more,High,Low
Exam Preparation,Optional,8.245640664115516,98.01844449556525,4.494497990344188,2.785128066702921,Medium,4.7063389313423905,Started but not completed,Much more,Medium,Medium
Project,Optional,9.275993940017973,46.526155053171124,2.179796266803517,3.552111321372439,High,2.528112773822794,Completed but late,Slightly more,Medium,High
Exam Preparation,Secondary,2.7231545050262995,68.81385061872989,4.207483226334679,3.3731824696507764,Low,4.058356361225366,Did not start,Slightly more,High,High
Exam Preparation,Secondary,16.585534593401942,54.05001356121133,2.762374473052374,1.0540655890538724,Medium,3.2143470344992764,Started but not completed,Less than estimated,Low,Low
Exam Preparation,Secondary,14.943335300378058,42.8006650172826,2.8057301661215837,3.71561265662486,Medium,2.2530575300888964,Completed but late,Slightly more,High,Low
Exam Preparation,Secondary,12.421195770148126,65.7946643700766,3.7985243242465287,3.898898366946304,Low,1.224115910800203,Did not start,Less than estimated,Medium,Medium
Project,Optional,16.465703503877318,104.81692860072633,4.761562940641138,3.085797862047612,High,3.6568932104894247,Completed but late,Slightly more,Medium,High
Revision / Practice,Core,7.0178842369184675,35.487584648782615,3.5437325441614234,2.4447850927553354,High,1.0553932391727696,Completed but late,Same as estimated,High,High
Exam Preparation,Core,10.917713833081727,117.25827920758297,3.958088312949665,2.990922647594012,Low,3.9387158004036813,Completed but late,Less than estimated,Medium,Medium
Assignment,Secondary,2.052715319205365,55.5737552418518,1.3823542759777672,4.5899934323027844,Low,2.395297771469429,Did not start,Less than estimated,Low,Low
Exam Preparation,Optional,6.3681060530322515,68.21849992503397,2.2471628244235995,4.268772145862497,Low,3.9137441090247522,Completed on time,Slightly more,Low,High
Project,Secondary,0.11324702151920496,92.57715281940062,4.67313253403087,2.570088765430771,High,1.2226844007976698,Completed but late,Less than estimated,Low,High
Revision / Practice,Secondary,13.477072006334456,58.97625943404792,2.662984287640901,4.113213855194791,Low,4.492426779315954,Started but not completed,Less than estimated,Medium,Medium
Assignment,Secondary,15.709095462313448,32.24366269257033,1.0120267138302936,1.7384994740954687,Low,2.8061467596304586,Completed on time,Same as estimated,Low,Medium
Assignment,Optional,19.01534228288051,89.53777564048454,4.263678784958554,2.708860393722232,Medium,4.731355277872981,Completed on time,Less than estimated,Medium,Medium
Exam Preparation,Core,1.297488177884134,85.7676952200209,3.837340670541455,2.6524636372114587,Low,1.3029263679730132,Started but not completed,Much more,Low,High
Exam Preparation,Secondary,14.89425198833537,88.79589804453502,1.7062032029502552,2.9108431234548844,High,1.7115350170570918,Did not start,Less than estimated,Low,Low
Exam Preparation,Core,3.5881934667558446,38.376429418771934,2.8577740226119044,4.807591085141947,Low,3.0438291405738136,Started but not completed,Same as estimated,Low,Low
Reading / Notes,Secondary,4.317414174706739,109.40990109420565,2.785473613707551,1.7247596948761257,Low,2.160085405437306,Did not start,Less than estimated,Medium,Low
Project,Optional,9.038532720747748,97.66084407302229,1.7460071344502355,4.257194526748125,Medium,4.3615149354428535,Started but not completed,Same as estimated,High,Medium
Reading / Notes,Core,11.712094257936256,109.14005022774336,2.945348818383268,1.790976540534496,Low,2.3135460748640204,Did not start,Much more,High,Low
Reading / Notes,Core,7.373861142630151,103.87305165437266,4.126671716105546,4.93109728516003,Low,1.8452953665271004,Did not start,Less than estimated,High,Medium
Reading / Notes,Core,12.10549141559156,42.92951336454725,1.5850411058267753,3.923676503357248,High,4.878336102024367,Completed on time,Slightly more,Low,High
Project,Core,3.2644395786863267,40.155219949050945,4.189666553251181,1.1725273621336294,Low,4.033462723887354,Did not start,Same as estimated,Low,High
Reading / Notes,Secondary,10.778803850462637,88.45194663862571,1.1050019261994994,4.640442794079394,Low,3.72156574823639,Started but not completed,Less than estimated,Low,Low
Reading / Notes,Secondary,11.071711169300977,101.60072512186184,2.4378430157157727,4.4939814816224,Low,1.210191342899451,Did not start,Less than estimated,Low,High
Reading / Notes,Secondary,19.00309256124608,44.288033374533825,2.0323794927219465,2.7690144553626634,Medium,2.086025612969859,Completed on time,Same as estimated,Medium,High
Reading / Notes,Secondary,2.980460379791763,102.4829595515559,3.7811130265900084,4.264923593403765,Low,4.084793388346421,Did not start,Much more,Low,High
Reading / Notes,Core,13.892998957211013,107.5528856442819,1.8990050085849228,2.3188237071418043,Medium,3.765081884525982,Completed but late,Same as estimated,Medium,Low
Exam Preparation,Secondary,12.513959237355651,90.61381167165585,2.9392589959620365,4.96373461588471,Medium,3.5678698720177917,Completed on time,Same as estimated,High,High
Assignment,Core,5.412874844561141,47.26379325952843,4.688379065484815,3.2765170441569675,High,4.625952684822744,Completed but late,Much more,Medium,Low
Reading / Notes,Secondary,19.781838657503634,35.50739111629864,1.5860350318906264,4.644273004176961,Low,1.2415863864942822,Completed but late,Much more,High,Medium
Project,Optional,0.9276068724008346,41.68772747336015,1.9072291932971557,4.846506800924659,Low,4.32665190757165,Completed on time,Slightly more,High,High
Assignment,Optional,14.103980624929846,113.0409139525908,3.7351918209160724,3.3093437541798485,Low,3.2786134516222405,Did not start,Less than estimated,Medium,Medium
Reading / Notes,Secondary,18.112865984864513,74.46323833694487,4.795495586453921,1.7088873625332246,Medium,1.5713822154964885,Started but not completed,Slightly more,Medium,Medium
Project,Core,18.734470833207062,77.56268334984149,1.1322032408527618,2.9474685170250217,High,1.1022760865041783,Started but not completed,Same as estimated,High,Medium
Assignment,Optional,11.620974680155058,81.9031876317751,1.2967117345501862,4.383010122398586,Medium,3.6634701765023716,Started but not completed,Same as estimated,High,High
Project,Secondary,0.9542901675808824,35.93759859595622,2.8369680152841363,3.8260707327202317,Low,3.461403154421716,Did not start,Much more,Low,High
Project,Core,19.64710010878905,90.18525407874306,1.1295714923980578,3.1623266707767903,High,3.942457080798387,Started but not completed,Slightly more,High,Low
Assignment,Core,9.255612052047455,104.81018241722848,3.2920390238852897,1.8423227222332152,Low,2.449300142764192,Completed but late,Less than estimated,High,Medium
Revision / Practice,Core,6.740440019891123,103.59299952507128,3.1125328018946656,3.775851858894595,High,3.634192023059698,Started but not completed,Much more,High,Medium
Project,Secondary,15.735030210765295,111.89672205769826,2.733314513948727,3.267050760637487,Medium,4.604052426894857,Completed but late,Much more,Medium,Low
Exam Preparation,Secondary,10.557835290965203,68.15856570276603,4.731828197283715,2.006608081757732,Low,1.2049538187773248,Did not start,Much more,Medium,High
Exam Preparation,Optional,17.525113388820944,40.931928768625056,4.723044917788213,1.6561311967611183,Medium,1.8830716568299697,Started but not completed,Much more,Medium,Low
Reading / Notes,Optional,13.276698896745618,97.09739664867308,1.8297015095571156,2.6459134339938197,High,3.4937995466710223,Started but not completed,Slightly more,High,Low
Project,Optional,6.663140864788977,45.22834540614,4.965307985153883,3.5410104280907295,High,2.277569822555338,Did not start,Same as estimated,High,Medium
Exam Preparation,Core,4.106266409812502,116.10979914137712,3.047709663016036,1.3538087373880305,High,4.431737359629658,Started but not completed,Less than estimated,High,Medium
Exam Preparation,Secondary,4.193711474100034,44.28563635172489,1.3241237520817584,4.440645342716282,High,2.1968317091866547,Completed on time,Same as estimated,High,High
Assignment,Optional,2.740681335746653,106.17794925970236,3.1432721638053587,2.761710684042208,High,3.458405898684589,Completed on time,Much more,Low,Low
Assignment,Optional,8.913433278566647,114.78557199151652,2.746096170917778,4.871291504942838,Low,4.362391630390773,Started but not completed,Much more,High,High
Revision / Practice,Optional,8.566327070780106,116.3034983834557,4.053053846616109,4.076124174220546,Medium,3.184506700981596,Did not start,Slightly more,Low,Medium
Exam Preparation,Optional,0.6859657330213742,82.16901077124535,1.8894467863519147,2.947302144979071,Low,1.2940879491050223,Completed but late,Same as estimated,Low,Low
Reading / Notes,Optional,1.8187349612348402,81.2382519399296,2.2481777890634542,2.265459351464136,Medium,3.7086567928135636,Did not start,Much more,High,Low
Revision / Practice,Secondary,9.466042586134106,119.21770021019302,2.055422679486934,1.695867969208133,Medium,3.433788078535016,Completed on time,Slightly more,Low,High
Project,Optional,1.2661069486418253,63.00338112828142,4.760133159240529,1.9460455033639912,High,1.8581802284585054,Started but not completed,Same as estimated,High,High
Project,Optional,13.919798784418669,78.15948729366158,1.2918538127956958,3.0468824735716664,Low,1.0157892192113578,Started but not completed,Slightly more,High,Low
Assignment,Secondary,5.533333230158009,116.12363556164567,1.9552548207513816,4.580374249399473,High,4.845787427091342,Completed but late,Same as estimated,Low,High
Project,Core,14.843847945733032,76.17515524385084,2.549605725453519,3.7483692434231277,High,4.588374166680682,Completed on time,Much more,Medium,High
Revision / Practice,Optional,6.448850910221409,62.01149313796545,3.7737555801963354,3.163736832869075,Low,1.1378158195051533,Completed on time,Same as estimated,High,Medium
Revision / Practice,Secondary,3.1855128962455814,88.20326647207139,3.770768919577169,1.036830125590479,High,4.8869425206517505,Did not start,Less than estimated,Medium,High
Reading / Notes,Core,14.331068223189256,101.5584092935016,2.2762737406950944,4.903916522006911,Low,3.6113974330984377,Did not start,Same as estimated,High,Medium
Revision / Practice,Secondary,18.230525626229795,54.460712894706134,2.128890948448138,2.792291683708726,Medium,3.0303649763633316,Started but not completed,Much more,Medium,Low
Reading / Notes,Optional,17.544975633776044,86.36499705374246,2.5387340633432625,4.553613489991255,Medium,2.3695240476032122,Started but not completed,Slightly more,High,High
Exam Preparation,Optional,18.201758136288454,115.1994244867424,1.311985955464304,4.612830797941653,Medium,4.886122972750167,Did not start,Much more,High,High
Assignment,Optional,8.895714873848261,77.40588696453018,2.481972282940472,4.854386913795181,High,2.866486303299959,Started but not completed,Less than estimated,High,High
Assignment,Secondary,8.916124553404845,100.64775039202367,1.0371854402824887,3.956316320648977,Low,2.874882260061949,Completed but late,Less than estimated,Medium,Low
Revision / Practice,Secondary,14.483501802931274,105.75128506231388,1.9660307186842232,1.7492350412050084,Medium,3.2534116402310604,Started but not completed,Slightly more,Low,Low
Project,Core,15.860941928246477,30.979598277233205,1.0507332970019712,4.379270935566884,Medium,1.5275173001120632,Completed on time,Same as estimated,Medium,High
Project,Secondary,19.903474436580538,49.857669597160395,3.606401901376637,3.0979382243717297,Low,1.1154176841399162,Completed on time,Slightly more,Low,High
Reading / Notes,Core,11.76431613109867,109.81258181558343,3.70422152277423,2.6163898426283265,Low,1.480829101560277,Completed but late,Less than estimated,High,High
Assignment,Core,9.23409578389383,116.93241795756447,1.0439953059384224,4.2969641866564245,Medium,4.328405338008208,Did not start,Much more,Low,Low
Project,Optional,0.8399969705467791,79.91605311169681,4.377088689148648,2.315363546377674,Low,1.1628319460341077,Did not start,Much more,Medium,High
Assignment,Core,9.971961638543101,92.7737227586991,1.4300363333027781,2.2959494509426897,High,1.4912367792689358,Completed on time,Slightly more,High,High
Assignment,Core,1.8095858240011786,98.80349949984232,1.5195204766794177,3.4106678139625455,Medium,1.723032078500593,Completed on time,Less than estimated,Low,High
Assignment,Secondary,3.579785559887829,46.5572766817216,4.5145881045684835,1.01976609608985,High,4.714585420748768,Completed but late,Much more,Low,Medium
Project,Optional,0.1938000333526002,110.56739707825734,2.5775812356901104,3.253166595093452,Low,3.12402642089228,Completed but late,Slightly more,High,Medium
Exam Preparation,Secondary,3.126394083495989,30.6234742225295,2.8636215338265036,4.038015856360534,Low,4.2863142842222075,Started but not completed,Same as estimated,Low,Low
Exam Preparation,Secondary,1.4146521387258093,48.57564485379689,2.561402627419737,4.091068415442835,Low,4.962424301709145,Started but not completed,Less than estimated,Low,High
Revision / Practice,Core,12.018026247769658,87.89034280773521,4.931954665216821,3.005491357103064,Medium,2.2157546762800187,Did not start,Less than estimated,Medium,Low
Assignment,Optional,1.8135323901399514,84.29440941351747,3.2936816219401677,2.1006783827235735,Low,1.99865094869241,Did not start,Less than estimated,Low,Medium
Assignment,Secondary,19.380672922982274,72.89278358707743,2.073480987078342,3.018419957196553,Low,1.077891156368731,Did not start,Less than estimated,Medium,Medium
Exam Preparation,Secondary,2.7539704785517816,53.7013998417263,4.870700653763049,3.37572278071728,Medium,4.876614821111137,Did not start,Much more,Low,High
Exam Preparation,Secondary,16.524084987167264,43.69402827477902,4.600941170478249,4.787372239445828,Low,2.9123205766267013,Did not start,Less than estimated,Medium,High
Exam Preparation,Secondary,3.75010415731434,79.85561776442874,4.3772302405981405,4.314870508799427,Low,2.40150370074914,Started but not completed,Slightly more,Low,High
Exam Preparation,Secondary,14.014869773527467,94.2802386398913,1.6930892388544176,1.9607728084265421,Low,4.9848645297403475,Completed but late,Slightly more,Low,High
Assignment,Secondary,19.299635089229923,118.16518536052483,1.843195724143731,3.566233198175116,Low,1.8957571621255687,Started but not completed,Much more,Low,Low
Assignment,Secondary,9.021466149529463,45.42039418583952,3.1578898989558306,2.6810938779719464,High,3.8168739609765563,Did not start,Much more,High,High
Assignment,Optional,0.9306928616418686,109.22650767748115,3.073763585234962,1.310577254060553,High,2.1884782480856595,Completed but late,Slightly more,Medium,Low
Project,Core,4.508896940362241,78.7825457410341,3.0843196355466453,2.046839632601083,Low,2.1873331159437917,Started but not completed,Much more,High,Low
Exam Preparation,Core,8.353332630313275,76.93641825903151,4.2925940856222535,2.5106262208621932,High,2.0548103600187257,Started but not completed,Slightly more,High,High
Project,Optional,19.843638831190656,112.53989887853959,4.793480371422225,4.155353403854642,Medium,2.7518529239098513,Started but not completed,Less than estimated,Low,Low
Reading / Notes,Optional,8.649368688223397,93.02359231481947,3.0523292389756667,2.7285018478114234,High,2.5487831190659422,Completed but late,Same as estimated,Low,Medium
Reading / Notes,Core,8.156633965596553,51.529052207942286,1.9988927402012915,1.9771648827759418,Medium,4.2201860743084625,Completed but late,Slightly more,Medium,High
Revision / Practice,Optional,6.422737494492903,89.22497775423253,2.182217174842301,2.602245313213368,Medium,1.5451998353598224,Did not start,Same as estimated,High,Medium
Exam Preparation,Core,0.2712725189915166,73.8049767766368,2.6786931899245605,4.519552022365545,Low,2.0064839765631506,Did not start,Much more,Low,High
Project,Secondary,14.465403197296638,68.63329764577327,1.2001581539443262,4.048197122680221,Medium,2.2885227616104413,Completed but late,Slightly more,Low,Low
Project,Core,14.47359786119182,45.07546905075335,1.9196698908929717,2.921297109998015,Medium,2.665519947138165,Completed on time,Slightly more,High,High
Reading / Notes,Secondary,16.646324737494183,74.96776842505353,3.154424820673755,1.0528085254634534,Medium,2.7742127370263963,Completed on time,Same as estimated,Medium,Low
Exam Preparation,Optional,17.56360311691994,82.16227373584502,4.939565151091152,3.567256797833267,High,2.9590569021840816,Did not start,Much more,Medium,Medium
Revision / Practice,Optional,17.248165754048543,49.185386320658125,2.933989445997232,2.9062832970066608,High,3.737665655775965,Started but not completed,Much more,High,Low
Revision / Practice,Secondary,1.8301256561061852,106.51134341677025,3.8797369583382704,1.1407993475528073,Medium,1.6321272189317573,Completed on time,Much more,Low,Low
Revision / Practice,Optional,4.116507349794514,59.27208083505418,1.937370543632245,3.8021520208557242,High,2.5261241120580173,Completed but late,Same as estimated,Low,High
Reading / Notes,Optional,0.08407886247200347,47.73996279072725,2.2367168986911072,4.015168587693209,Low,3.6415032489020787,Completed but late,Less than estimated,Medium,Low
Reading / Notes,Core,6.443564920210991,51.48330238595072,2.1740057748253556,4.251888850198254,Medium,1.3778078512838885,Started but not completed,Slightly more,Low,High
Reading / Notes,Core,10.05308432863634,45.673710676525204,1.1288912446839898,1.74598220572511,Medium,2.3814502538270554,Completed on time,Less than estimated,Medium,High
Reading / Notes,Optional,5.913673143560687,98.19570405128725,3.666549574181159,2.063615329615964,Medium,3.935236070122228,Started but not completed,Less than estimated,Low,High
Assignment,Optional,19.587607396672674,91.8981929384541,2.3300186374633025,2.7123929636720447,Medium,1.3884607599918102,Did not start,Same as estimated,Low,Medium
Exam Preparation,Secondary,15.633537706684857,33.947122009458035,2.555892720089139,4.041586607303419,High,1.9381799808156654,Started but not completed,Slightly more,Medium,High
Project,Secondary,18.870736409855546,56.55894528863748,2.1184214791731413,4.787495498890742,High,3.426262022179151,Started but not completed,Much more,High,Low
Exam Preparation,Secondary,17.06318336738647,77.38542979416542,3.0983554725060154,1.945067461230133,High,4.201928833419306,Did not start,Less than estimated,Medium,High
Exam Preparation,Secondary,5.390179859232218,83.07351119952978,2.6720432248002166,2.391531446714812,High,1.6969550894371186,Completed on time,Less than estimated,Low,Low
Project,Core,3.7141993911861593,77.57185197578534,3.0073955863410555,4.809118196662018,High,1.3376311512655774,Completed but late,Less than estimated,Medium,High
Assignment,Optional,3.4674274527684057,118.27535571783571,4.856396648614476,1.268447228147676,Medium,1.1058395307993956,Completed on time,Much more,Low,High
Assignment,Core,10.810014985396956,34.31951772487804,1.2868920355780888,4.456429484235114,Medium,2.0392507113828153,Completed but late,Much more,Low,Medium
Revision / Practice,Optional,0.611824412818982,44.39988938624498,3.7801944940455185,2.1795147758920193,Low,1.300091040197167,Did not start,Slightly more,Medium,Low
Revision / Practice,Secondary,16.373102267455167,101.11368033206885,2.120266454116592,2.8921180229019385,Low,2.8182899216141983,Completed but late,Much more,Medium,High
Revision / Practice,Optional,9.642939344166855,109.49197035031659,2.290498459151125,2.7185714612617575,Medium,1.8165027094673714,Did not start,Same as estimated,High,Low
Reading / Notes,Secondary,17.979188367005,52.74739257368077,1.5640251507082619,4.2968923019790495,Low,3.811466383358058,Did not start,Much more,Medium,High
Reading / Notes,Secondary,13.518002002473802,78.3883959280186,4.312940721614205,1.8448943507744864,Low,2.3568468268557505,Started but not completed,Much more,High,High
Assignment,Core,19.502605450677205,41.84386519890766,4.181900912452003,1.1962825068011456,Low,3.2266129056819457,Completed but late,Slightly more,Low,Medium
Revision / Practice,Secondary,8.550667227652088,75.49605295958582,2.4268880351808475,4.007229580347012,Medium,4.618119403755796,Completed on time,Much more,Low,Medium
Reading / Notes,Optional,15.476939454296852,108.61127272102362,4.499298088528381,3.9026939691861937,Low,3.3111941244443295,Started but not completed,Much more,Low,Low
Reading / Notes,Core,6.595901710845766,110.79598515462745,4.228165374328154,3.8787000306482886,Low,1.7302358257793289,Did not start,Slightly more,Medium,Medium
Project,Optional,16.071474748019586,114.0777220029605,3.4249454260938585,4.325022764082606,Medium,1.436227740298588,Did not start,Same as estimated,Medium,High
Revision / Practice,Core,2.524509970925506,51.798799286068245,3.3851267521995627,4.306302706881945,Low,3.3026340783337824,Completed on time,Less than estimated,Medium,High
Reading / Notes,Core,17.166459025074914,90.98847407165903,4.106901327812366,1.352182544136689,High,3.052957263752071,Completed but late,Much more,High,Low
Reading / Notes,Core,19.174559412113034,32.899287817779374,3.02341718270986,2.428106030577732,Low,3.5439183201164086,Did not start,Less than estimated,High,Medium
Exam Preparation,Optional,16.85663635726451,114.88868660656347,1.6072012308649914,3.2687136459622805,High,2.228972680175172,Completed but late,Same as estimated,Medium,High
Reading / Notes,Core,16.440236686787067,44.925536395238304,3.7757175553410796,2.256386925582016,High,2.158337108467267,Completed but late,Same as estimated,Low,Low
Exam Preparation,Core,12.367262049864005,111.31936298298342,3.8171343328495824,1.697148232281553,Medium,3.583917666406858,Did not start,Much more,Low,High
Project,Optional,1.188344455774637,37.731862130005645,2.3127625743772064,4.395370930899956,Low,2.114792739912197,Completed but late,Same as estimated,Medium,High
Revision / Practice,Core,10.965117991581348,111.08915375519659,2.6306970826688576,4.583227004989213,Medium,1.6655049872858951,Started but not completed,Same as estimated,Low,High
Assignment,Core,15.937879829580837,59.70867476444364,2.6423977093227413,2.3967830244108494,Medium,1.882718692273476,Completed but late,Much more,Medium,Medium
Revision / Practice,Optional,16.579520290180387,93.63836682681,1.7167850488803826,3.497080422670042,Low,1.0853928761976381,Completed on time,Less than estimated,Low,Medium
Exam Preparation,Core,5.436984882992908,81.35663985457819,3.615421479820494,3.582024903842007,High,3.8579231407626122,Completed on time,Same as estimated,Low,Low
Exam Preparation,Secondary,11.065194050441928,44.822804444946776,1.9274850598207647,3.885833831391475,High,1.630740589060733,Started but not completed,Less than estimated,High,Medium
Exam Preparation,Secondary,12.619857291964234,57.64535758184796,4.4363134308478145,3.9308591026835527,High,1.5706108650042472,Started but not completed,Much more,High,High
Project,Core,9.785680031010777,89.36929706954625,3.8572775344069625,3.696663852344082,Medium,1.1642687774726026,Started but not completed,Much more,Medium,Medium
Assignment,Core,6.7769291889922645,69.8701784664599,4.214426250728282,4.52746145008736,High,1.1190429564045172,Completed on time,Slightly more,High,High
Revision / Practice,Core,5.764587623758242,103.52259948183207,3.553716470790967,3.3458754830785677,Low,1.0387237019363522,Completed on time,Much more,Medium,High
Revision / Practice,Secondary,4.265927060336301,119.19985279735415,2.442193255033962,2.7193807121559113,Medium,2.179908817765561,Did not start,Much more,Low,Medium
Assignment,Secondary,8.73169743147438,67.87351943374384,1.6769921772489762,2.7722937708005935,High,2.9590004639061394,Completed on time,Slightly more,Medium,High
